ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,market_cap_billions,exposure_pct_mcap
C.N,SMM,0.015566,0.8931,False,0.5539,0.060741,1.2497,134,187841875186.42,Citigroup,control,Diversified Banks,465529026.32961464,0.4655290263296146,187.84187518642003,0.2478302699372062
CFG.N,SMM,0.205005,0.1476,False,0.4583,0.073935,1.2355,134,24556147137.54,Citizens Financial Group,control,Regional Banks,801497190.282859,0.8014971902828589,24.556147137540002,3.2639370736526376
CTSH.N,SMM,-0.1599,0.2098,False,0.4367,0.058822,0.8535,95,28565688531.6,Cognizant,control,IT Consulting & Other Services,727227819.4311965,0.7272278194311964,28.5656885316,2.5458088245508974
STZ.N,SMM,-0.021726,0.8483,False,0.2289,0.059552,0.6002,134,26254398450.8,Constellation Brands,control,Distillers & Vintners,90815331.1812402,0.0908153311812402,26.2543984508,0.3459052065177786
DRI.N,SMM,-0.000883,0.9948,False,0.2779,0.070617,0.8095,134,22046842727.47,Darden Restaurants,control,Restaurants,3099448.548911612,0.0030994485489116122,22.04684272747,0.014058468993611274
DDOG.O,SMM,-0.269338,0.3908,False,0.1781,0.134283,1.0272,78,40508900143.92,Datadog,control,Application Software,1737102344.8381176,1.7371023448381175,40.508900143919995,4.288199231938021
EBAY.O,SMM,-0.061063,0.6353,False,0.4234,0.067478,1.0698,134,39415040000.0,eBay Inc.,control,Broadline Retail,383192881.46608514,0.38319288146608516,39.41504,0.972199651366801
EPAM.N,SMM,-0.621921,0.0021,True,0.3124,0.10389,1.2087,134,7319182409.11,EPAM Systems,control,IT Consulting & Other Services,724728126.0234706,0.7247281260234706,7.31918240911,9.901763414468533
EXPE.N,SMM,0.191164,0.3848,False,0.3842,0.10169,1.3235,95,27669599672.13,Expedia Group,control,"Hotels, Resorts & Cruise Lines",842143903.194043,0.8421439031940431,27.66959967213,3.0435709702091795
FICO.N,SMM,-0.251934,0.085,False,0.3559,0.076254,1.0361,134,23984500802.04,Fair Isaac,control,Application Software,962043677.2488129,0.9620436772488129,23.98450080204,4.011105693586027
FITB.N,SMM,0.188204,0.1973,False,0.5219,0.06732,1.1568,95,40333798200.92,Fifth Third Bancorp,control,Regional Banks,1208579697.391859,1.208579697391859,40.33379820092,2.996444052631502
IT.N,SMM,-0.256958,0.0706,False,0.3513,0.074044,0.9942,134,10949384693.48,Gartner,control,IT Consulting & Other Services,447949629.3659181,0.4479496293659181,10.949384693479999,4.091094083420574
GL.N,SMM,0.017517,0.8678,False,0.273,0.055195,0.624,134,10599140895.74,Globe Life,control,Life & Health Insurance,29560223.89038815,0.02956022389038815,10.59914089574,0.2788926402730336
GS.N,SMM,0.05052,0.629,False,0.5557,0.054803,1.1295,134,236847686092.38,Goldman Sachs,control,Investment Banking & Brokerage,1905065060.017066,1.905065060017066,236.84768609238,0.804341850008201
